Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,444.3,444.4,445.5,448.2,449.9,450.2,454.8,456.1,458.5,461.4,466.5,467.4
2014,471.5,474.1,474.1,474.7,473.5,474.5,474.0,474.6,475.9,477.8,478.1,479.1
2015,476.3,479.7,479.9,479.7,481.5,482.8,485.2,488.8,487.3,487.9,490.3,489.2
2016,490.3,488.8,487.4,490.1,492.7,492.4,496.0,494.0,495.5,494.8,493.6,494.4
2017,494.6,495.7,494.3,494.9,491.6,492.6,490.2,490.1,486.8,486.5,484.2,485.2
2018,485.6,487.5,489.4,490.8,492.6,491.2,490.0,492.7,492.1,490.1,491.8,492.2
2019,492.8,492.7,492.2,488.7,490.2,490.7,490.5,488.8,488.2,490.8,490.4,488.8
2020,488.0,484.6,481.5,441.3,440.6,442.3,437.2,433.2,436.8,437.3,436.5,439.2
2021,435.1,436.3,437.6,438.6,440.5,443.1,446.1,449.7,455.0,456.9,461.2,465.4
2022,469.0,474.9,481.9,483.2,482.4,487.8,491.4,494.6,494.0,495.5,493.6,493.3
2023,494.3,494.6,492.3,493.1,494.9,497.3,497.7,498.9,500.3,503.3,504.5,
