Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,817.00,820.41,821.10,821.13,824.21,826.62,824.91,828.69,827.66,828.70,831.10,829.37
2014,833.51,834.52,839.04,839.73,841.80,843.87,844.56,849.08,846.98,848.01,853.24,851.85
2015,853.88,857.73,857.67,858.71,861.47,861.47,862.50,868.11,866.30,869.06,871.13,870.78
2016,878.15,873.07,875.48,878.23,879.95,881.33,883.74,882.20,886.49,890.62,888.37,891.65
2017,894.40,893.86,895.57,900.25,901.62,903.34,906.78,907.47,908.61,911.26,914.94,915.38
2018,919.51,922.88,926.67,928.74,930.81,935.24,934.61,938.40,939.81,943.92,943.94,950.82
2019,951.86,952.88,958.76,954.94,958.38,961.14,963.89,967.67,969.05,968.63,972.41,973.09
2020,975.15,982.12,982.08,1026.34,1031.28,1016.20,1016.89,1022.96,1027.30,1027.99,1031.47,1041.22
2021,1047.20,1039.73,1048.75,1053.98,1060.26,1062.44,1066.97,1068.07,1077.41,1080.56,1087.15,1093.42
2022,1094.40,1097.56,1104.50,1105.12,1109.28,1113.43,1118.62,1118.84,1125.54,1130.04,1131.60,1132.45
2023,1142.49,1142.30,1142.08,1146.90,1147.34,1155.84,1156.94,1163.41,1166.50,1165.51,1173.04,
