Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,1675.1,1683.4,1687.9,1694.6,1702.7,1710.0,1715.8,1719.1,1718.6,1729.9,1739.0,1740.7
2014,1751.3,1757.5,1763.9,1776.4,1788.0,1793.6,1799.4,1807.7,1816.4,1828.5,1840.5,1854.7
2015,1866.3,1878.1,1888.3,1896.9,1905.7,1913.8,1923.0,1929.6,1937.6,1944.7,1950.9,1951.7
2016,1957.2,1963.0,1968.3,1976.6,1985.9,1993.2,1997.8,1999.9,2010.4,2016.4,2021.1,2026.1
2017,2036.1,2040.1,2038.0,2039.2,2040.9,2045.4,2049.2,2055.8,2059.8,2066.1,2067.5,2073.5
2018,2085.2,2091.6,2094.1,2098.3,2106.1,2113.7,2122.1,2127.7,2132.8,2142.4,2151.6,2154.4
2019,2155.3,2158.4,2165.9,2179.2,2188.3,2196.5,2208.4,2217.9,2215.4,2216.5,2222.2,2214.0
2020,2229.4,2234.4,2215.9,2161.3,2162.9,2163.5,2166.7,2181.5,2192.9,2211.2,2209.5,2223.2
2021,2238.3,2253.2,2253.7,2266.2,2274.8,2291.4,2317.1,2333.4,2350.4,2364.7,2378.9,2393.5
2022,2405.1,2416.3,2427.8,2436.4,2450.5,2461.9,2462.3,2468.8,2476.4,2488.7,2489.6,2493.4
2023,2485.6,2488.0,2488.1,2500.9,2504.0,2509.4,2513.0,2518.1,2514.8,2519.0,2521.9,
