Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,7837,7851,7856,7872,7883,7887,7904,7902,7903,7912,7911,7916
2014,7913,7932,7932,7944,7951,7965,7980,7994,8009,8018,8036,8042
2015,8059,8070,8081,8086,8097,8115,8134,8145,8152,8167,8182,8189
2016,8207,8210,8226,8249,8265,8281,8304,8320,8327,8333,8344,8370
2017,8397,8400,8407,8424,8436,8452,8465,8476,8479,8482,8490,8496
2018,8503,8527,8538,8546,8572,8590,8600,8612,8629,8643,8651,8661
2019,8675,8683,8705,8724,8736,8749,8770,8786,8785,8800,8816,8821
2020,8838,8869,8852,8589,8605,8622,8622,8647,8676,8698,8708,8720
2021,8734,8723,8733,8753,8760,8767,8804,8821,8850,8877,8912,8935
2022,8941,8982,8997,9034,9040,9043,9057,9066,9068,9086,9097,9101
2023,9100,9100,9095,9122,9135,9137,9152,9153,9153,9148,9152,
