Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,638.4,639.1,638.2,637.8,636.9,635.6,634.1,632.1,631.5,631.1,631.5,632.2
2014,631.8,633.6,633.5,635.9,635.3,634.6,638.3,640.2,642.0,644.6,646.7,650.0
2015,650.6,653.0,655.1,657.9,657.7,661.0,663.6,664.1,668.5,669.8,670.6,671.7
2016,674.7,674.1,676.0,675.4,675.1,673.4,671.0,670.6,665.5,664.7,665.6,663.5
2017,661.8,659.3,657.1,659.4,662.5,662.4,665.2,667.8,671.2,671.4,671.2,671.1
2018,675.9,679.4,682.0,684.3,687.6,691.4,696.5,696.5,697.7,703.2,705.5,709.3
2019,712.1,715.8,719.2,722.3,725.9,729.9,734.2,737.3,741.4,745.1,751.2,755.0
2020,756.3,761.8,765.1,745.6,747.7,751.8,756.0,762.6,769.7,778.1,781.7,787.2
2021,794.7,800.8,807.1,813.4,818.7,822.2,830.4,837.2,842.6,848.5,852.7,859.2
2022,862.5,870.9,874.9,880.4,888.3,896.2,903.5,902.9,906.7,909.9,910.7,913.9
2023,918.1,923.5,928.4,931.0,935.6,936.3,938.1,943.7,948.5,947.1,951.3,
