Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,854.2,852.3,851.9,852.4,852.1,851.6,854.3,855.8,853.0,852.6,851.3,855.6
2014,848.2,849.2,849.4,844.3,842.2,839.6,837.1,836.4,837.4,829.5,826.2,821.5
2015,816.0,811.9,808.0,812.7,813.4,805.7,809.9,809.2,811.0,816.2,809.3,807.3
2016,805.6,803.5,803.7,806.6,775.1,805.1,805.9,799.5,806.6,798.1,799.0,805.0
2017,794.4,794.8,790.2,781.4,779.1,784.5,778.7,776.6,781.0,768.8,768.9,771.2
2018,763.2,764.3,759.3,758.1,753.9,753.7,750.1,745.0,741.9,739.9,737.5,733.1
2019,729.6,726.1,723.6,716.5,718.5,715.7,707.7,710.2,707.7,710.5,709.4,708.9
2020,707.5,704.3,701.5,696.0,691.9,686.2,683.2,680.0,680.5,675.6,672.6,673.1
2021,679.3,678.8,672.3,670.3,666.1,665.1,663.7,664.0,660.1,662.2,659.1,657.4
2022,657.3,654.3,658.5,664.2,664.7,665.7,668.8,667.3,666.1,663.9,661.2,658.1
2023,655.0,654.1,651.9,650.8,647.0,647.1,642.4,639.9,638.3,635.4,634.8,
