Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,155763,155312,155005,155394,155536,155749,155599,155605,155687,154673,155265,155182
2014,155352,155483,156028,155369,155684,155707,156007,156130,156040,156417,156494,156332
2015,157030,156644,156643,157060,157651,157062,156997,157172,156733,157167,157463,158035
2016,158280,158640,159179,159141,158784,158967,159194,159562,159714,159605,159506,159678
2017,159620,159859,160137,160345,160068,160192,160462,160586,161140,160309,160579,160535
2018,160914,161778,161686,161771,161848,162210,162341,161660,162087,162602,162836,163206
2019,162968,163023,162937,162594,162756,163073,163533,163763,164077,164432,164553,164704
2020,164348,164458,162635,156308,158067,159900,160102,160722,160224,160944,160687,160757
2021,160025,160187,160463,160908,160740,161192,161486,161535,161544,161740,162315,162410
2022,163633,163862,164301,163950,164278,164002,163990,164714,164619,164646,164527,164966
2023,165832,166251,166731,166688,166818,166951,167103,167839,167929,167728,168260,
