Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,58.6,58.6,58.5,58.6,58.6,58.6,58.7,58.7,58.7,58.3,58.6,58.7
2014,58.8,58.7,58.9,58.9,58.9,59.0,59.0,59.0,59.1,59.3,59.2,59.3
2015,59.3,59.2,59.2,59.3,59.4,59.4,59.3,59.4,59.2,59.3,59.4,59.6
2016,59.7,59.8,59.8,59.7,59.7,59.7,59.8,59.8,59.7,59.7,59.7,59.7
2017,59.9,60.0,60.2,60.2,60.1,60.1,60.2,60.1,60.4,60.1,60.1,60.1
2018,60.1,60.4,60.4,60.4,60.5,60.5,60.6,60.3,60.4,60.5,60.6,60.6
2019,60.6,60.7,60.6,60.6,60.6,60.7,60.8,60.8,61.0,61.0,61.0,61.0
2020,61.1,61.1,59.8,51.3,52.7,54.7,55.2,56.5,56.6,57.4,57.4,57.4
2021,57.5,57.6,57.8,57.9,58.0,58.0,58.4,58.6,58.8,59.0,59.4,59.5
2022,59.7,59.8,60.1,59.9,60.0,59.9,59.9,60.1,60.1,60.0,59.9,60.1
2023,60.2,60.2,60.4,60.4,60.3,60.3,60.4,60.4,60.4,60.2,60.5,
