Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,858.2,860.6,861.3,863.7,865.3,864.7,867.1,865.8,866.7,868.2,868.4,871.1
2014,872.3,874.7,877.0,878.2,879.8,878.6,883.9,886.4,888.7,890.7,893.2,890.8
2015,896.3,900.3,899.1,900.5,901.7,906.2,907.3,910.4,912.1,916.1,919.9,921.8
2016,920.9,920.7,923.1,925.7,927.4,925.5,928.3,932.7,931.9,929.9,928.2,930.1
2017,932.1,931.3,932.1,933.7,934.4,939.5,943.9,942.7,942.3,941.7,942.0,943.3
2018,946.7,950.9,951.8,952.3,952.3,951.2,950.9,954.4,954.4,954.5,960.6,959.5
2019,957.0,957.7,959.4,962.0,961.7,964.3,966.0,963.7,962.9,964.6,963.3,964.0
2020,962.7,965.7,967.5,963.2,963.6,962.5,961.4,964.3,967.2,967.3,965.6,968.4
2021,976.6,974.9,975.9,981.7,990.3,991.2,997.4,999.8,1001.2,1011.7,1022.4,1024.9
2022,1019.1,1025.7,1031.8,1038.4,1041.7,1048.3,1056.4,1057.4,1058.6,1063.3,1068.1,1068.3
2023,1070.7,1071.3,1075.7,1078.2,1081.7,1085.9,1085.6,1088.2,1089.4,1092.6,1095.1,
