Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,21869,21881,21870,21869,21864,21840,21815,21831,21835,21830,21843,21820
2014,21814,21825,21833,21853,21832,21895,21901,21855,21897,21917,21932,21947
2015,21960,21978,21970,22005,22012,22015,22050,22060,22040,22056,22081,22097
2016,22114,22138,22178,22184,22199,22180,22289,22284,22323,22295,22277,22304
2017,22316,22326,22329,22335,22347,22360,22374,22310,22333,22361,22379,22384
2018,22374,22419,22427,22444,22449,22482,22436,22468,22474,22479,22473,22511
2019,22524,22536,22573,22610,22569,22577,22542,22614,22645,22675,22714,22723
2020,22783,22871,22841,21927,21396,21407,21509,22011,21919,21767,21681,21671
2021,21781,21793,21876,21929,21930,21999,22037,22100,22074,22037,22038,22056
2022,22075,22082,22073,22101,22122,22110,22185,22231,22237,22262,22324,22331
2023,22450,22505,22565,22603,22629,22648,22739,22790,22853,22918,22967,
