Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,2662,2698,2700,2696,2710,2705,2720,2691,2708,2718,2722,2727
2014,2724,2718,2725,2721,2717,2722,2725,2733,2734,2727,2735,2737
2015,2740,2741,2737,2742,2747,2748,2752,2751,2764,2766,2751,2761
2016,2762,2775,2785,2789,2751,2801,2799,2803,2817,2814,2812,2817
2017,2821,2815,2813,2804,2801,2811,2809,2813,2816,2811,2815,2818
2018,2817,2819,2826,2838,2841,2838,2841,2840,2838,2850,2850,2851
2019,2842,2844,2850,2846,2854,2873,2866,2867,2872,2873,2883,2891
2020,2901,2908,2899,2640,2610,2622,2617,2642,2698,2695,2702,2715
2021,2749,2765,2770,2792,2820,2837,2866,2902,2917,2934,2955,2973
2022,2985,2992,3018,3035,3067,3089,3102,3110,3113,3116,3129,3120
2023,3097,3089,3092,3095,3091,3081,3062,3040,3034,3015,3025,
