Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,1181.1,1186.5,1195.0,1202.0,1209.1,1213.9,1222.8,1223.4,1229.8,1235.5,1238.6,1244.3
2014,1245.7,1250.3,1256.0,1256.6,1261.2,1268.4,1271.1,1271.3,1278.1,1280.9,1285.4,1287.9
2015,1287.8,1292.6,1293.6,1300.6,1307.8,1314.5,1321.9,1329.2,1326.7,1337.1,1346.7,1358.7
2016,1368.8,1375.3,1380.7,1384.6,1389.0,1392.2,1395.0,1395.6,1408.4,1412.0,1411.6,1409.6
2017,1403.9,1410.6,1418.9,1426.2,1431.6,1434.1,1438.9,1442.2,1439.0,1442.5,1449.1,1454.9
2018,1461.0,1462.9,1464.9,1468.9,1475.6,1482.6,1482.8,1490.6,1496.0,1496.0,1498.6,1500.2
2019,1503.5,1511.7,1515.4,1518.5,1522.1,1527.3,1536.1,1546.3,1552.9,1557.8,1560.7,1563.1
2020,1566.1,1568.8,1566.9,1473.3,1487.4,1504.2,1506.3,1513.5,1524.9,1533.5,1538.9,1555.2
2021,1573.5,1580.5,1593.5,1607.7,1619.2,1628.3,1643.2,1654.6,1671.4,1695.0,1714.0,1721.7
2022,1733.9,1744.9,1758.1,1764.9,1772.6,1782.7,1791.8,1802.9,1807.7,1813.4,1823.2,1832.2
2023,1841.4,1850.0,1854.3,1863.2,1874.3,1880.0,1883.7,1882.9,1889.5,1889.9,1892.8,
