Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,18319,18412,18468,18530,18584,18630,18676,18702,18731,18782,18850,18838
2014,18885,18948,18994,19053,19093,19155,19192,19249,19304,19334,19388,19468
2015,19493,19537,19565,19609,19691,19742,19775,19808,19828,19902,19937,20006
2016,20017,20029,20053,20084,20091,20134,20178,20182,20251,20273,20309,20341
2017,20382,20400,20431,20464,20525,20559,20599,20640,20636,20677,20691,20728
2018,20787,20825,20872,20920,20980,21029,21041,21080,21111,21134,21138,21157
2019,21163,21191,21216,21269,21314,21363,21384,21413,21421,21425,21432,21422
2020,21424,21437,21353,19170,19364,19734,19926,20111,20231,20449,20553,20710
2021,20854,20940,21067,21048,21131,21234,21397,21500,21592,21821,21960,22069
2022,22164,22306,22439,22421,22493,22582,22659,22707,22755,22791,22791,22814
2023,22858,22879,22924,22972,23017,23016,22987,22995,22978,22980,22971,
