Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2013,624.7,622.5,623.4,629.1,627.6,627.5,629.5,628.8,627.2,625.7,627.5,627.9
2014,627.4,626.5,625.2,629.0,631.4,634.3,637.4,637.8,639.2,642.3,644.4,647.6
2015,647.2,646.3,649.9,650.9,654.7,659.5,658.3,656.1,658.2,661.1,662.8,665.0
2016,670.2,676.2,680.0,681.3,677.5,679.5,681.1,683.9,685.1,686.5,685.2,689.7
2017,693.9,696.6,698.6,701.8,703.8,706.6,708.9,711.9,714.2,716.5,719.9,723.1
2018,725.1,728.8,731.2,733.0,736.0,736.3,735.8,738.8,741.2,743.3,743.0,744.2
2019,747.3,746.5,748.1,749.0,751.4,754.9,757.8,757.1,757.6,755.3,758.8,759.7
2020,761.5,762.8,761.5,673.0,696.4,719.5,733.0,741.0,745.7,749.6,752.9,762.4
2021,761.1,766.3,774.5,779.2,789.6,790.4,795.4,800.9,806.1,812.2,818.9,819.6
2022,823.4,828.6,827.2,830.7,831.8,835.4,841.9,849.6,851.1,856.5,860.9,866.7
2023,869.5,872.4,876.4,882.3,889.6,883.8,890.4,890.2,890.9,893.4,893.0,
