YEAR,Labor Force,Employment,Emp/Pop,Unemployed,Unemp Rate,LFPART
Jan-76,"3,066.60","2,723.00",47.8,343.6,11.2,53.9
Feb-76,"3,065.40","2,722.40",47.8,343,11.2,53.9
Mar-76,"3,064.90","2,722.90",47.9,341.9,11.2,53.9
Apr-76,"3,067.30","2,726.30",47.9,341,11.1,53.9
May-76,"3,072.00","2,730.70",48,341.3,11.1,54
Jun-76,"3,077.20","2,735.00",48.1,342.2,11.1,54.1
Jul-76,"3,081.10","2,738.00",48.2,343.1,11.1,54.2
Aug-76,"3,082.70","2,739.20",48.3,343.6,11.1,54.3
Sep-76,"3,081.80","2,739.20",48.3,342.6,11.1,54.3
Oct-76,"3,079.40","2,739.00",48.3,340.4,11.1,54.3
Nov-76,"3,076.80","2,739.10",48.4,337.7,11,54.4
Dec-76,"3,074.90","2,740.30",48.5,334.6,10.9,54.4
Jan-77,"3,074.10","2,742.60",48.6,331.4,10.8,54.4
Feb-77,"3,072.90","2,745.40",48.7,327.5,10.7,54.5
Mar-77,"3,070.30","2,748.00",48.7,322.3,10.5,54.5
Apr-77,"3,066.30","2,749.70",48.8,316.7,10.3,54.5
May-77,"3,061.90","2,750.10",48.9,311.7,10.2,54.4
Jun-77,"3,057.90","2,749.30",48.9,308.5,10.1,54.4
Jul-77,"3,054.90","2,747.80",48.9,307.1,10.1,54.4
Aug-77,"3,054.00","2,747.10",49,306.8,10,54.4
Sep-77,"3,054.60","2,747.80",49,306.9,10,54.5
Oct-77,"3,055.20","2,749.40",49.1,305.8,10,54.6
Nov-77,"3,054.80","2,751.80",49.2,303,9.9,54.6
Dec-77,"3,053.60","2,754.80",49.3,298.8,9.8,54.6
Jan-78,"3,052.30","2,758.80",49.4,293.5,9.6,54.6
Feb-78,"3,052.00","2,764.20",49.5,287.8,9.4,54.7
Mar-78,"3,052.80","2,770.10",49.7,282.7,9.3,54.7
Apr-78,"3,054.20","2,776.00",49.8,278.2,9.1,54.8
May-78,"3,056.30","2,781.40",50,274.9,9,54.9
Jun-78,"3,058.30","2,786.00",50.1,272.3,8.9,55
Jul-78,"3,059.90","2,789.70",50.2,270.2,8.8,55.1
Aug-78,"3,060.90","2,792.10",50.3,268.8,8.8,55.1
Sep-78,"3,061.60","2,794.20",50.3,267.4,8.7,55.2
Oct-78,"3,063.00","2,796.80",50.4,266.2,8.7,55.2
Nov-78,"3,065.30","2,800.10",50.5,265.2,8.7,55.3
Dec-78,"3,067.00","2,802.70",50.6,264.3,8.6,55.3
Jan-79,"3,066.70","2,803.10",50.6,263.6,8.6,55.4
Feb-79,"3,064.30","2,800.90",50.6,263.5,8.6,55.4
Mar-79,"3,061.30","2,797.30",50.6,264,8.6,55.3
Apr-79,"3,059.10","2,793.90",50.5,265.2,8.7,55.3
May-79,"3,058.80","2,791.90",50.5,266.8,8.7,55.3
Jun-79,"3,060.40","2,792.00",50.5,268.4,8.8,55.4
Jul-79,"3,063.50","2,794.70",50.6,268.8,8.8,55.5
Aug-79,"3,067.30","2,799.40",50.7,267.9,8.7,55.6
Sep-79,"3,070.90","2,804.90",50.8,266.1,8.7,55.6
Oct-79,"3,073.20","2,809.80",50.9,263.4,8.6,55.7
Nov-79,"3,073.10","2,813.10",51,260,8.5,55.7
Dec-79,"3,071.40","2,814.00",51,257.4,8.4,55.7
Jan-80,"3,068.80","2,812.80",51,255.9,8.3,55.6
Feb-80,"3,065.60","2,809.90",50.9,255.7,8.3,55.6
Mar-80,"3,062.70","2,806.10",50.9,256.6,8.4,55.5
Apr-80,"3,060.20","2,802.50",50.8,257.7,8.4,55.5
May-80,"3,058.20","2,799.80",50.7,258.5,8.5,55.4
Jun-80,"3,057.30","2,798.50",50.7,258.9,8.5,55.4
Jul-80,"3,056.90","2,798.00",50.7,258.9,8.5,55.3
Aug-80,"3,056.60","2,798.00",50.6,258.6,8.5,55.3
Sep-80,"3,056.60","2,798.20",50.6,258.4,8.5,55.3
Oct-80,"3,057.80","2,798.20",50.6,259.6,8.5,55.3
Nov-80,"3,061.80","2,799.00",50.5,262.8,8.6,55.3
Dec-80,"3,069.20","2,802.10",50.6,267.1,8.7,55.4
Jan-81,"3,079.70","2,807.60",50.6,272.1,8.8,55.5
Feb-81,"3,090.80","2,814.20",50.7,276.6,8.9,55.7
Mar-81,"3,099.10","2,820.20",50.8,278.9,9,55.8
Apr-81,"3,102.20","2,824.20",50.8,278,9,55.8
May-81,"3,099.80","2,825.40",50.8,274.4,8.9,55.8
Jun-81,"3,093.90","2,824.40",50.8,269.5,8.7,55.6
Jul-81,"3,087.50","2,821.70",50.7,265.9,8.6,55.5
Aug-81,"3,083.20","2,817.80",50.6,265.4,8.6,55.4
Sep-81,"3,081.40","2,813.40",50.5,268.1,8.7,55.3
Oct-81,"3,082.40","2,809.50",50.4,272.8,8.9,55.3
Nov-81,"3,084.40","2,806.00",50.3,278.3,9,55.3
Dec-81,"3,086.20","2,802.80",50.2,283.4,9.2,55.3
Jan-82,"3,087.90","2,800.80",50.1,287.1,9.3,55.3
Feb-82,"3,090.00","2,800.40",50.1,289.5,9.4,55.3
Mar-82,"3,092.20","2,800.80",50.1,291.4,9.4,55.3
Apr-82,"3,094.10","2,800.80",50.1,293.4,9.5,55.3
May-82,"3,095.00","2,799.60",50,295.4,9.5,55.3
Jun-82,"3,094.10","2,796.60",49.9,297.5,9.6,55.2
Jul-82,"3,091.50","2,791.60",49.8,299.9,9.7,55.2
Aug-82,"3,088.00","2,785.30",49.6,302.7,9.8,55
Sep-82,"3,084.10","2,778.00",49.5,306.1,9.9,54.9
Oct-82,"3,079.90","2,770.00",49.3,309.9,10.1,54.8
Nov-82,"3,075.60","2,762.50",49.1,313.2,10.2,54.7
Dec-82,"3,069.80","2,754.90",48.9,314.9,10.3,54.5
Jan-83,"3,062.20","2,747.40",48.7,314.7,10.3,54.3
Feb-83,"3,054.90","2,742.00",48.6,312.9,10.2,54.1
Mar-83,"3,050.40","2,740.20",48.5,310.2,10.2,54
Apr-83,"3,051.60","2,743.40",48.5,308.2,10.1,54
May-83,"3,058.10","2,750.80",48.6,307.2,10,54
Jun-83,"3,067.50","2,760.90",48.7,306.6,10,54.1
Jul-83,"3,077.20","2,772.20",48.9,305,9.9,54.3
Aug-83,"3,084.40","2,782.60",49,301.9,9.8,54.3
Sep-83,"3,087.80","2,790.50",49.1,297.3,9.6,54.4
Oct-83,"3,087.30","2,795.90",49.2,291.5,9.4,54.3
Nov-83,"3,083.80","2,798.70",49.2,285.1,9.2,54.2
Dec-83,"3,080.00","2,800.90",49.2,279.1,9.1,54.1
Jan-84,"3,077.80","2,804.10",49.2,273.7,8.9,54
Feb-84,"3,078.00","2,808.20",49.3,269.8,8.8,54
Mar-84,"3,081.60","2,813.10",49.3,268.5,8.7,54
Apr-84,"3,086.70","2,816.90",49.3,269.8,8.7,54
May-84,"3,092.80","2,819.20",49.3,273.5,8.8,54.1
Jun-84,"3,098.30","2,819.90",49.3,278.5,9,54.2
Jul-84,"3,101.40","2,819.00",49.2,282.4,9.1,54.2
Aug-84,"3,102.20","2,818.10",49.2,284.1,9.2,54.2
Sep-84,"3,102.30","2,819.20",49.2,283.1,9.1,54.2
Oct-84,"3,103.10","2,823.10",49.3,280,9,54.2
Nov-84,"3,106.80","2,830.50",49.4,276.3,8.9,54.2
Dec-84,"3,113.80","2,840.20",49.5,273.6,8.8,54.3
Jan-85,"3,122.00","2,849.10",49.7,272.9,8.7,54.4
Feb-85,"3,128.30","2,855.40",49.8,272.9,8.7,54.5
Mar-85,"3,129.80","2,858.20",49.8,271.6,8.7,54.5
Apr-85,"3,192.20","2,923.90",50.9,268.4,8.4,55.6
May-85,"3,219.30","2,955.70",51.4,263.6,8.2,56
Jun-85,"3,230.50","2,972.00",51.7,258.5,8,56.2
Jul-85,"3,236.70","2,982.00",51.9,254.6,7.9,56.3
Aug-85,"3,241.80","2,990.00",52,251.9,7.8,56.3
Sep-85,"3,246.80","2,996.80",52,250,7.7,56.4
Oct-85,"3,251.20","3,001.90",52.1,249.3,7.7,56.4
